Algo, Ascending(11), Descending(11), Random(11), D20%(11), D40%(11), Ascending(20), Descending(20), Random(20), D20%(20), D40%(20), Ascending(30), Descending(30), Random(30), D20%(30), D40%(30), Ascending(40), Descending(40), Random(40), D20%(40), D40%(40), Ascending(50), Descending(50), Random(50), D20%(50), D40%(50), Ascending(60), Descending(60), Random(60), D20%(60), D40%(60), 
Insertion sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000001, 0.000001, 0.000001, 0.000000, 0.000002, 0.000001, 0.000001, 0.000001, 0.000000, 0.000002, 0.000001, 0.000001, 0.000001, 
Quicksort, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 0.000001, 
Heapsort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 
