Algo, Ascending(1000), Descending(1000), Random(1000), D20%(1000), D40%(1000), Ascending(10000), Descending(10000), Random(10000), D20%(10000), D40%(10000), Ascending(100000), Descending(100000), Random(100000), D20%(100000), D40%(100000), Ascending(150000), Descending(150000), Random(150000), D20%(150000), D40%(150000), Ascending(200000), Descending(200000), Random(200000), D20%(200000), D40%(200000), Ascending(250000), Descending(250000), Random(250000), D20%(250000), D40%(250000), 
Insertion sort, 0.000013, 0.002938, 0.001351, 0.001290, 0.001194, 0.000129, 0.277594, 0.137528, 0.129843, 0.116812, 0.001068, 28.441335, 13.538952, 13.509702, 11.393294, 0.001734, 60.756319, 31.745116, 30.489004, 26.782244, 0.002323, 109.230784, 54.171278, 51.785682, 44.977382, 0.003031, 177.547727, 88.203518, 84.643884, 74.199787, 
Quicksort, 0.001810, 0.001859, 0.001744, 0.001744, 0.001798, 0.173727, 0.174055, 0.173619, 0.174390, 0.177865, 17.758898, 17.594494, 17.442554, 17.540522, 17.929950, 39.614348, 39.556901, 39.602100, 39.343095, 40.410836, 71.361879, 69.965051, 71.357558, 71.286134, 71.760783, 110.531698, 110.631383, 113.644909, 113.225038, 114.643319, 
Heapsort, 0.000211, 0.000161, 0.000132, 0.000117, 0.000110, 0.002246, 0.002403, 0.002026, 0.001745, 0.001632, 0.030665, 0.033600, 0.027302, 0.023637, 0.021577, 0.051117, 0.048036, 0.044535, 0.037626, 0.034307, 0.066259, 0.065846, 0.061470, 0.050613, 0.047008, 0.084754, 0.091671, 0.082273, 0.065742, 0.061067, 
