Algo, Ascending(1000), Descending(1000), Random(1000), D20%(1000), D40%(1000), Ascending(10000), Descending(10000), Random(10000), D20%(10000), D40%(10000), Ascending(100000), Descending(100000), Random(100000), D20%(100000), D40%(100000), Ascending(150000), Descending(150000), Random(150000), D20%(150000), D40%(150000), Ascending(200000), Descending(200000), Random(200000), D20%(200000), D40%(200000), Ascending(250000), Descending(250000), Random(250000), D20%(250000), D40%(250000), 
Insertion sort, 0.000002, 0.000629, 0.000315, 0.000290, 0.000275, 0.000011, 0.063735, 0.031913, 0.030430, 0.025994, 0.000097, 6.377225, 3.193876, 3.047780, 2.673252, 0.000158, 14.265921, 7.128289, 6.826771, 6.085534, 0.000214, 25.606735, 12.702107, 12.205612, 10.656492, 0.000295, 39.829436, 19.829755, 18.986018, 16.664210, 
Quicksort, 0.000242, 0.000239, 0.000238, 0.000238, 0.000247, 0.023135, 0.023150, 0.023289, 0.023131, 0.023202, 2.318505, 2.320281, 2.319801, 2.314089, 2.321415, 5.225917, 5.233691, 5.219127, 5.226010, 5.210271, 9.300685, 9.614938, 9.238565, 9.281560, 9.275634, 14.505410, 14.521954, 14.536884, 14.552817, 14.512262, 
Heapsort, 0.000016, 0.000015, 0.000015, 0.000014, 0.000014, 0.000212, 0.000204, 0.000204, 0.000188, 0.000170, 0.002720, 0.002696, 0.002780, 0.002482, 0.002264, 0.004321, 0.004349, 0.004280, 0.003956, 0.003543, 0.006088, 0.005988, 0.006039, 0.005595, 0.004996, 0.007710, 0.007700, 0.007578, 0.007111, 0.006231, 
